"id";"Player";"Cost"
299;"Colback";4.2
300;"Atsu";4.8
301;"Gayle";6.1
302;"Pérez";5.4
303;"Mitrovic";4.7
304;"Murphy";4.5
465;"Haidara";3.9
466;"de Jong";4.9
467;"Aarons";4.3
477;"Manquillo";4.2
478;"Murphy";5
488;"Joselu";5.5
494;"Mbemba";3.9
495;"Merino";4.9
496;"Hayden";4.3
516;"Saivet";4.4
529;"Woodman";4
621;"Dubravka";4.5
305;"McCarthy";4.4
306;"Forster";4.6
307;"Bertrand";5.3
308;"Yoshida";4.6
309;"Targett";4.3
310;"Cédric";4.7
312;"Pied";4.2
313;"Stephens";4.5
314;"McQueen";4.2
315;"Bednarek";4.1
316;"Davis";4.7
317;"Ward-Prowse";4.9
318;"Tadic";6.2
319;"Clasie";4.4
320;"Oriol Romeu";4.2
321;"Højbjerg";4.3
322;"Boufal";5.7
323;"Sims";4.3
324;"Redmond";5.9
325;"Long";5.6
326;"Austin";5.8
327;"Gabbiadini";6.2
500;"Lemina";4.8
506;"Taylor";4
525;"Hoedt";5
603;"Obafemi";4.5
607;"Carrillo";5.9
99;"Zouma";5.4
328;"Butland";5
329;"Grant";4.2
330;"Shawcross";4.8
331;"Cameron";4.3
332;"Pieters";4.7
333;"Muniesa";4.5
335;"Johnson";4.1
336;"Tymon";4.4
337;"Allen";5.1
338;"Adam";4.7
339;"Whelan";4.5
341;"Afellay";4.8
342;"Shaqiri";6.2
343;"Imbula";4.5
344;"Bojan";5.5
345;"Sobhi";4.5
346;"Fletcher";4.7
347;"Crouch";4.8
348;"Diouf";5.2
349;"Berahino";5.5
383;"Wimmer";4
497;"Choupo-Moting";5.3
512;"Jesé";5.4
513;"Martins Indi";4.9
550;"Souttar";4
556;"Edwards";4
562;"Ngoy";4.5
569;"Haugaard";4
590;"Ireland";4.5
594;"Bauer";4.5
599;"Stafylidis";4.3
619;"Badou Ndiaye";5
628;"Campbell";4.5
637;"Sorenson";4.5
201;"King";4.2
350;"Fabianski";4.7
351;"Nordfeldt";3.9
352;"Naughton";4.6
353;"Rangel";3.9
354;"Fernández";4.5
355;"Kingsley";4.5
356;"van der Hoorn";4.4
357;"Mawson";5.1
358;"Olsson";5
360;"Routledge";5.1
361;"Britton";4.4
362;"Fulton";4.3
363;"Ki Sung-yueng";4.7
364;"Montero";4.9
365;"Fer";5.2
366;"Dyer";4.4
367;"Carroll";4.3
368;"Barrow";5
369;"Narsingh";4.7
370;"Mesa";4.2
372;"McBurnie";4.6
373;"Jordan Ayew";5.3
374;"Abraham";5.4
449;"André Ayew";6.8
485;"Bartley";4.3
519;"Clucas";4.7
535;"Sanches";4.3
542;"Bony";5.6
561;"Rodon";4
576;"Mulder";4
598;"Roberts";4
371;"Llorente";7.3
375;"Lloris";5.4
376;"Vorm";4.8
377;"Alderweireld";5.8
378;"Rose";6.4
380;"Vertonghen";6
381;"Davies";5.8
382;"Trippier";5.2
384;"Dier";4.7
385;"Dembélé";4.9
386;"Lamela";6.3
387;"Eriksen";9.6
388;"Alli";9
389;"Wanyama";4.8
390;"Son";8.3
391;"Winks";4.8
393;"Sissoko";5.3
394;"Kane";13
395;"Janssen";7.4
498;"Walker-Peters";4
511;"Carter-Vickers";4.5
520;"Sánchez";6
531;"Oakley-Boothe";4.5
532;"Aurier";5.9
534;"Foyth";4.5
565;"Gazzaniga";4.2
566;"Whiteman";4
617;"Lucas Moura";7.7
643;"Sterling";4.5
92;"Gray";6.3
112;"Chalobah";4.2
197;"Wagué";4.5
396;"Pantilimon";4.5
397;"Gomes";4.4
398;"Kaboul";4.2
399;"Cathcart";4.4
400;"Prödl";4.3
401;"Holebas";4.8
402;"Britos";4.3
403;"Kabasele";4.4
404;"Janmaat";4.8
405;"Mariappa";4.2
406;"Mason";3.9
407;"Kiko Femenía";4.3
408;"Cleverley";5
409;"Capoue";4.8
410;"Behrami";4.5
411;"Berghuis";5
412;"Amrabat";5
413;"Success";5.3
414;"Doucouré";5.2
415;"Pereyra";5.8
416;"Hughes";4.6
417;"Deeney";6.3
418;"Okaka";5.3
419;"Zárate";5.4
486;"Watson";4.3
499;"Sinclair";4.9
501;"Richarlison";5.9
527;"Carrillo";5.4
536;"Karnezis";4.5
537;"Zeegelaar";4
581;"Folivi";4.5
582;"Bachmann";4
609;"Deulofeu";5.5
613;"Stewart";4.5
615;"Lukebakio";4.8
618;"Ndong";4.5
625;"Mukena";4
8;"Gibbs";5
151;"Barry";4.4
236;"Sturridge";7.9
420;"Myhill";4
421;"Foster";4.3
422;"Nyom";4.7
423;"Evans";4.9
424;"Dawson";4.8
425;"McAuley";4.5
426;"Livermore";4.8
427;"Chadli";5.6
428;"Morrison";5.3
429;"Yacob";4.3
430;"McClean";4.7
431;"Leko";4.5
432;"Phillips";5.4
433;"Field";4.4
434;"Brunt";5
435;"Rondón";6
436;"Robson-Kanu";4.9
437;"Rodriguez";5.3
468;"Hegazi";4.6
507;"Harper";4.5
508;"Wilson";4
524;"Burke";4.9
533;"Krychowiak";4.7
557;"Palmer";4
572;"Melbourne";4
577;"Tulloch";4.5
578;"Ferguson";4
610;"Gabr";4.2
624;"Jameson";4
340;"Arnautovic";7
438;"Adrián";4.1
439;"Randolph";4.5
440;"Fonte";4.7
441;"Collins";4.3
442;"Reid";4.8
443;"Cresswell";4.9
444;"Ogbonna";4.2
445;"Byram";4.2
446;"Masuaku";4.2
447;"Zabaleta";4.9
448;"Snodgrass";5.8
450;"Noble";5.3
451;"Kouyaté";5
452;"Obiang";4.2
453;"Lanzini";6.6
454;"Antonio";7.4
455;"Feghouli";5.5
456;"Fernandes";4.3
457;"Carroll";5.7
458;"Sakho";5.5
459;"Fletcher";4.5
460;"Valencia";5
479;"Hart";4.2
487;"Chicharito";6.7
510;"Rice";4.4
526;"Haksabanovic";5
567;"Martínez";5
568;"Quina";4.4
573;"Johnson";4.4
574;"Trott";4
580;"Makasi";4.5
596;"Burke";4
597;"Cullen";4.5
608;"João Mário";6
611;"Oxford";4.5
622;"Hugill";4.9
626;"Evra";4.2
631;"Browne";4.5
635;"Pask";4
636;"Diangana";4.5
